token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,unc,unc,999847863,CArye8hudThg2QSQ7nrgcxDY2kgdxx4cybVKkdcADUSC,A,ok,False,False,True,HIGH,1724515.2191347654,,0.0,2186.739191954,True
AWSh5PLiH83Zj5es7PTcZT477EmFH85yCZe51Dt6pump,EGGTAPE,eggtape,999684831,4YNnk3MNVNmNn28qAZEKFGKDHbk9J8CDvptMaC8BNK9q,B,ok,True,False,True,HIGH,12238.337270081289,945.0047969450112,2448.3593922570176,141202.0926848191,False
AWSh5PLiH83Zj5es7PTcZT477EmFH85yCZe51Dt6pump,EGGTAPE,eggtape,999684831,H4o71kaAkimhYp9fKeKS3e2SKGzi8USoRWxqz9T92G1u,B,ok,False,False,True,HIGH,1953969.9331734243,,0.0,59469.65205260381,False
AzTfanTxWofndzi653Q75VS7B5vvgLfeJXUBo9Qzpump,GoyNigga,GoyNigga,898703329,9qFLRBy8SfFBfJitm7iE2Hf7J1x48sppdKivv5Gubro4,A,ok,True,True,False,MEDIUM,2134.166486246631,933.4844062451816,179.6231353267234,0.0,False
BCdwQBAn8dYB5YjTsoB6TdHAWokxv28k2oZUodERpump,MANIFEST,Manifesting,899998991,Dhp8V82RCxbxFKjP62EiKqvLLdEgwhDahXoGk2vu5u3n,A,ok,False,False,True,HIGH,,,0.0,0.0,False
BFiGUxnidogqcZAPVPDZRCfhx3nXnFLYqpQUaUGpump,SPIKE,SPIKE ,999967888,6rKWwcGaJCM4xHQvAicPqNPvDYHwCLZNqcbKYLELXsAu,A,ok,False,False,True,HIGH,,,0.0,0.0,False
BFiGUxnidogqcZAPVPDZRCfhx3nXnFLYqpQUaUGpump,SPIKE,SPIKE ,999967888,DL4sCkgLD8NhKVixeoafdVjzqAX1R7vvifzbW6eRod5G,A,ok,False,False,True,HIGH,,,0.0,0.0,False
BM3ZoRSdhEsj6YktZWrVe2xppr5oT4ExSvBEHE5ppump,METANGLE,bro this is meta ngl,1141216639,F2wd13ZiS5qhf6yDRcEowTYxA6FyJ8BGRhKMXNMbyAMY,B,ok,False,False,True,HIGH,,,0.0,1777121.9460472674,False
BhFhSiozXfoRCxq2DsCH55QaJ4kyY4ia3epfSPFEpump,JaneStreet,Jane Street,999951517,9LGjXs2u3c9sVtaJDm22EzyhyzQoPjvaFJHs4LJWg9EB,B,ok,False,False,True,HIGH,,,0.0,0.0,False
BrzfyNWGGyqbsVMoegc3fbd9V2Gvwm56HZM1e9cVpump,ClawHUB,ClawHub,999518125,Gon4dpzaZmrJ6xCJ9EQ6ehPiQNnwF4Nbh5Z4Af4VsmW5,B,ok,False,False,True,HIGH,407059.7874921563,,0.0,2950767.784972547,False
C7V47ci5u2Ak3VYb62a1obLTY74BLFxLB7d2NLKRpump,AI,Artificial Intelligence,999965967,GdebKUxpVXwwKMrZNtaYTWhHn6rzHMZGeduhjdSqg3x6,A,ok,True,False,True,HIGH,12723.104033536452,28.00130371147866,2709.384238502281,0.0,False
CCgH8T82ABC7Krg4bR4Jj2yotiDQdzk3yg6GLLUApump,LOLO,Elote,998579963,WPqP6oj1cXkyqrZD1QS58jw61j28NpxgGwAMDkyxc1U,A,ok,True,True,False,MEDIUM,11122.29472419979,59.83015142183787,8118.349829930942,0.0,False
CWoQEk7PtczueUu5C2P1mvb3AhBKC1QiuzzfiUfVpump,asscoin,asscoin,999996876,9DByz89oQGfEb1QmtKcZb2Ry7ic9L1NeQ7Rc4xj2EqgK,B,ok,True,False,True,HIGH,16224.606419032209,42.34082311252711,1883.907201410777,2749677.8732087617,False
CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump,ALTSZN,ALTSEASON,999965458,6pLjBnoxF6DP8dpbhtVs1dykZPmP1WVFV7GjhpWnBHBx,A,ok,True,False,True,HIGH,10110.038328836838,117.8538976785284,1.1003000602517137e-12,0.0,False
CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump,ALTSZN,ALTSEASON,999965458,8PwmF8KBYjrz8G9RPN3M9p3ZZePyEv4pn8Uc1R7nLYAs,A,ok,False,False,True,HIGH,10110.038328836838,18.2271352085612,0.0,0.0,False
CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump,ALTSZN,ALTSEASON,999965458,CVnRWFefzdHf3ALGK8aEc8PTvCsN6zG3JfcyPeWmQPUZ,A,ok,True,False,True,HIGH,11807.993873362437,243.3008137763861,33332.55188434002,0.0,False
CcLd8HTAKLWtQHatqPwBQjtuCA72FNB9E1ckRTEzpump,ALTSZN,ALTSEASON,999965458,GHoMgQYCUnptjCNqmLQ3yqoMrLb3DLxBnGgyzHiXi2aj,B,ok,True,False,True,HIGH,5398.452426149911,1374.9745461752548,896.1786369092811,89727.97807878816,False
